sk_ato,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
78323,21794,288458,GAB DEP RICARDO VALE,Não apreciado(a),merito_favoravel,"Por isso, voto pela APROVAÇÃO do Projeto de Lei nº 1.314/2024.",parecer_autor
78324,21797,283062,GAB DEP JOÃO CARDOSO,Aprovado(a),sem_clausula,,parecer_autor
78325,21800,292395,GAB DEP DAYSE AMARILIO,Não apreciado(a),merito_favoravel,"Diante do exposto, manifestamos voto pela APROVAÇÃO do Projeto de Lei nº 183/2024, no âmbito Comissão de Assuntos Sociais.",parecer_autor
78326,21803,294497,GAB DEP CHICO VIGILANTE,Aprovado(a),admissivel,"III - CONCLUSÕES Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei n.º 1.313/2024, no âmbito da Comissão de Constituição e Justiça.",parecer_autor
78327,21803,290222,GAB DEP JORGE VIANNA,Aprovado(a),admissivel,"Assim, no âmbito da CEOF, vota-se pela admissibilidade do PL nº 1.313/2024, conforme o art. 65, I, do RICLDF.",parecer_autor
78328,21845,313002,GAB DEP JOÃO CARDOSO,Não apreciado(a),sem_clausula,,parecer_autor
78329,21853,292096,GAB DEP THIAGO MANZONI,Aprovado(a),admissivel,"Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 194/2024 no âmbito da CCJ.",parecer_autor
78330,21900,304994,GAB DEP DOUTORA JANE,Não apreciado(a),merito_favoravel,"III - CONCLUSÕES Diante do exposto, o voto é pela APROVAÇÃO do Projeto de Lei nº 1.785/2025, de autoria do Deputado Iolando, no âmbito da Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo – CDESCTMAT.",parecer_autor
78331,21919,288313,GAB DEP FÁBIO FÉLIX,Aprovado(a),merito_favoravel,"Considerando a relevância da proposta e o impacto positivo que sua implementação poderá trazer para famílias em situação de vulnerabilidade, manifestamo-nos pela aprovação do Projeto de Lei nº 1.358/2024 no âmbito da Comissão de Defesa dos Direitos Humanos, Cidadania e Legislação Participativa.",parecer_autor
78332,21919,317554,GAB DEP ROGÉRIO MORRO DA CRUZ,Não apreciado(a),merito_favoravel,"III - CONCLUSÃO Ante o exposto, manifestamo-nos, no âmbito da Comissão de Assuntos Sociais, pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1.358, de 2024, de autoria do Deputado Joaquim Roriz Neto, que ""Dispõe sobre o plano de ações para a realocação de famílias removidas compulsoriamente de ocupações coletivas a fim de preservar os direitos de crianças e adolesc",parecer_autor
