sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave
54,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5333,api_i5,,autor_id
55,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5376,api_i5,,autor_id
56,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5397,api_i5,,autor_id
57,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5398,api_i5,,autor_id
58,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5399,api_i5,,autor_id
59,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,5407,api_i5,,autor_id
60,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,5407,api_i5,,autor_id
61,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,5407,api_i5,,autor_id
62,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5425,api_i5,,autor_id
63,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5428,api_i5,,autor_id
64,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5429,api_i5,,autor_id
65,25,Deputado João Cardoso ,AVANTE,1,apresentou uma proposição,2022-03-17,2022,32,8,5439,api_i5,,autor_id
66,30,Deputado Martins Machado,REPUBLICANOS,1,apresentou uma proposição,2022-03-17,2022,32,8,5439,api_i5,,autor_id
67,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-17,2022,32,8,5439,api_i5,,autor_id
68,25,Deputado João Cardoso ,AVANTE,1,apresentou uma proposição,2022-03-17,2022,32,8,5442,api_i5,,autor_id
69,30,Deputado Martins Machado,REPUBLICANOS,1,apresentou uma proposição,2022-03-17,2022,32,8,5442,api_i5,,autor_id
70,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-17,2022,32,8,5442,api_i5,,autor_id
71,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,5625,api_i5,,autor_id
72,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5694,api_i5,,autor_id
73,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-01,2022,32,8,5695,api_i5,,autor_id
