sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
77732,25,Deputado João Cardoso ,AVANTE,3,relatou (parecer),2024-08-23,2024,34,9,20049,api_i8,,normalizar,20049,129557,GAB DEP JOÃO CARDOSO,Aprovado(a),merito_favoravel,"Ante o exposto, vota-se, no âmbito da CAS, pela APROVAÇÃO do PDL nº 140/2024, nos termos do art. 65, I, “l” do RICLDF.",parecer_autor
77733,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-08-05,2024,34,9,20092,api_i8,,normalizar,20092,127747,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por esses motivos, voto pela aprovação do Projeto de Lei nº 1.129, de 2024.",parecer_autor
77734,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-07-03,2024,34,9,20111,api_i8,,normalizar,20111,126790,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Pelo exposto, manifestamos voto pela APROVAÇÃO do Projeto de Decreto Legislativo nº 141/2024 no âmbito da Comissão de Assuntos Sociais.",parecer_autor
77735,60,Deputada Dayse Amarilio,PSB,3,relatou (parecer),2024-11-29,2024,34,9,20189,api_i8,,normalizar,20189,279289,GAB DEP DAYSE AMARILIO,Não apreciado(a),merito_favoravel,"Em face do que foi apresentado, manifestamo-nos, no mérito, pela aprovação do PL nº 1.132, de 2024, na forma do Substitutivo anexo, nesta Comissão de Educação, Saúde e Cultura.",parecer_autor
77736,64,Deputada Paula Belmonte,INVÁLIDO,3,relatou (parecer),2024-09-16,2024,34,9,20251,api_i8,,normalizar,20251,132744,GAB DEP PAULA BELMONTE,Aprovado(a),merito_favoravel,"Recomendamos, portanto, o voto pela APROVAÇÃO do Projeto de Lei nº 1.137/2024, quanto ao mérito, no âmbito desta Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo.",parecer_autor
77737,67,Deputado Rogério Morro da Cruz,PSD,3,relatou (parecer),2024-09-04,2024,34,9,20284,api_i8,,normalizar,20284,130938,GAB DEP ROGÉRIO MORRO DA CRUZ,Aprovado(a),merito_favoravel,"Portanto, no âmbito desta Comissão, somos favoráveis à APROVAÇÃO do Projeto de Lei nº 1139/2024, que institui e inclui no Calendário Oficial de Eventos do Distrito Federal o Dia de Enfrentamento ao Racismo Ambiental e Defesa da Justiça Climática.",parecer_autor
77738,64,Deputada Paula Belmonte,INVÁLIDO,3,relatou (parecer),2024-11-19,2024,34,9,20285,api_i8,,normalizar,20285,277935,GAB DEP PAULA BELMONTE,Não apreciado(a),merito_favoravel,"Diante da relevância do tema e da abrangência das medidas propostas, recomendamos, portanto, o voto pela APROVAÇÃO do Projeto de Lei nº 1.138/2024, quanto ao mérito, no âmbito desta Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo.",parecer_autor
77739,59,Deputado Pastor Daniel de Castro,PP,3,relatou (parecer),2024-09-25,2024,34,9,20302,api_i8,,normalizar,20302,134430,GAB DEP PR DANIEL DE CASTRO,Aprovado(a),merito_favoravel,"Pelo exposto, somos pela APROVAÇÃO do Projeto de Lei 1140/2024, no âmbito desta Comissão de Assuntos Sociais.",parecer_autor
77740,60,Deputada Dayse Amarilio,PSB,3,relatou (parecer),2024-08-16,2024,34,9,20315,api_i8,,normalizar,20315,128914,GAB DEP DAYSE AMARILIO,Aprovado(a),sem_clausula,,parecer_autor
77741,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-08-13,2024,34,9,20332,api_i8,,normalizar,20332,128480,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"Pelo exposto, no âmbito desta Comissão de Transporte e Mobilidade Urbana, votamos pela APROVAÇÃO, no mérito, do Projeto de Lei nº 1142/2024.",parecer_autor
77742,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-08-12,2024,34,9,20347,api_i8,,normalizar,20347,128372,GAB DEP MARTINS MACHADO,Aprovado(a),sem_clausula,,parecer_autor
