fonte,entidade,origem_arquivo,origem_registro,campo_original,tipo_original,rotulo_original,descricao_original,origem_conjunto,descricao_do_conjunto_original,modulo,publicado_em
ckan,concursos,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/b3f53a207fc023e4.json,_id,int,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,não publicado
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,ADJUDICADO,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,não publicado
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,ANO,numeric,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,compras-por-modalidade-e-ano.ano
ckan,contratacao,contratacoes/Compras-2021-ComprasNet (15a17dd3-58ac-4600-a254-ff30fe85d34b); contratacoes/Compras-2023-ComprasNet (b7cde9a6-8a98-4d4b-833a-2f98e3e456ef); contratacoes/Compras-2022-ComprasNet (ef8bbc97-dc3a-42e0-b994-281cb7f21edd); contratacoes/Compras-2020-ComprasNet (fc1c6163-43e8-4d0d-bbf2-eaf19d012156),data/raw/contratacao/0db7a8a0e1807273.json,ATA,text,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades.,contratacao.py,não publicado
ckan,contratacao,licitacoes/Relatorio_Licitacoes_Normalizado.csv (422b9ad0-172b-4672-944e-12302430a8d6); obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),data/raw/contratacao/437e5e4c456cc6f1.json,Ano,numeric,n/d,n/d,data/raw/contratacao/147bfc606c65c310.json,"Dados para as modalidades de licitações da Lei 14.133/2021 utilizadas na CLDF, que atualmente compreende Pregões Eletrônicos e Concorrências. Observe-se que as Dispensas Eletrônicas de Licitação se encontram em outro conjunto de dados.",contratacao.py,obras.ano
ckan,contratacao,contratacoes/Compras-2024-PNCP (107b8385-a2bf-452a-a503-086be6af8b4d); contratacoes/Compras-2023-PNCP (199afb34-53a3-414c-85d5-f7d13ac9023d); contratacoes/Compras-2025-06-PNCP (e2ad9fad-2fbd-4e90-adb0-1ed92f97dbd7),data/raw/contratacao/1418acc24bad5215.json,AnoCompra,numeric,n/d,n/d,data/raw/contratacao/acdcf1ed87e790a1.json,Relação de compras da CLDF a partir de 2020. As compras de origem do comprasnet são apenas da modalidade pregão eletrônico. As compras obtidas do PNCP contemplam todas as modalidades. || Compras realizadas pela Câmara Legislativa do Distrito Federal no exercício 2024 e publicadas no Portal Nacional de Compras Públicas.,contratacao.py,compras-por-modalidade-e-ano.ano
ckan,contratacao,"contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",data/raw/contratacao/b[redigido]b10a.json,AtoDeNomeação,text,n/d,n/d,data/raw/contratacao/001d62805eb39f3d.json,"Relação de contratos, atas de registro de preços, acordos e convênios firmados pela CLDF.",contratacao.py,contratos-vigentes.ato_de_nomeacao
ckan,contratacao,"empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c); contratos-atas-de-registro-de-preco-acordos-e-convenios/Contratos, Atas de Registro de Preço, Acordos e Convênios (cbd8a127-b6b9-4abc-9a65-50b0248809c8)",data/raw/contratacao/31ea6ded702b5626.json,CNPJ,text,n/d,n/d,data/raw/contratacao/56f7e68b989aeb78.json,"Empresas sancionadas administrativamente pela CLDF, nas hipóteses de impedimento de licitar e contratar, ou de declaração de inidoneidade para licitar ou contratar. || Empresas sancionadas administrativamente pela CLDF (nas hipóteses de impedimento de licitar e contratar e declaração de inidoneidade para licitar ou contratar)",contratacao.py,não publicado
ckan,contratacao,empresas-sancionadas/Empresas sancionadas  (178f7059-d789-46d4-9ed3-2d67650fd59c),data/raw/contratacao/31ea6ded702b5626.json,CONTRATO / Nº DO PREGÃO,text,n/d,n/d,data/raw/contratacao/56f7e68b989aeb78.json,"Empresas sancionadas administrativamente pela CLDF, nas hipóteses de impedimento de licitar e contratar, ou de declaração de inidoneidade para licitar ou contratar. || Empresas sancionadas administrativamente pela CLDF (nas hipóteses de impedimento de licitar e contratar e declaração de inidoneidade para licitar ou contratar)",contratacao.py,empresas-sancionadas.contrato_ou_pregao_na_fonte
ckan,contratacao,obras/OBRAS CLDF (4fd1432f-627e-49c7-8b8a-c17678a80cb7),data/raw/contratacao/437e5e4c456cc6f1.json,Contrato,text,n/d,n/d,data/raw/contratacao/5ac2de468a0bdbef.json,"Nesta seção, estão disponíveis informações detalhadas sobre as obras em execução na Câmara Legislativa do Distrito Federal (CLDF). O objetivo é garantir total transparência sobre os investimentos públicos destinados a melhorias, manutenções e novas construções vinculadas à infraestrutura física da instituição. || Conforme a Lei 14.133/2021, art. 94, §3º e Lei Distrital nº 7.433/2024, informamos as obras que estão em execução na Câmara Legislativa do Distrito Federal.",contratacao.py,obras.contrato
